
BUSES AND NODES IN ACTIVE CIRCUIT: grid_model

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  10.000          (           NA,            NA )     No           3          1    2    3 
"1284"        0.400          ( 146.383      , 96.798       )     No           3          1    2    3 
"1285"        0.400          ( 208.747      , 97.077       )     No           3          1    2    3 
"1286"        0.400          ( 194.374      , 120.15       )     No           3          1    2    3 
"1287"        0.400          ( 194.374      , 120.15       )     No           3          1    2    3 
"1288"        0.400          ( 74.792       , 68.711       )     No           3          1    2    3 
"1289"        0.400          ( 76.715       , 70.702       )     No           3          1    2    3 
"1290"        0.400          ( 76.451999    , 71.262       )     No           3          1    2    3 
"1291"        0.400          ( 74.951       , 72.302       )     No           3          1    2    3 
"1292"        0.400          ( 74.127       , 72.643       )     No           3          1    2    3 
"1293"        0.400          ( 78.455       , 71.706       )     No           3          1    2    3 
"1294"        0.400          ( 77.797       , 72.077       )     No           3          1    2    3 
"1295"        0.400          ( 77.013001    , 72.666       )     No           3          1    2    3 
"1296"        0.400          ( 77.199       , 72.845999    )     No           3          1    2    3 
"1297"        0.400          ( 77.142001    , 63.8         )     No           3          1    2    3 
"1298"        0.400          ( 111.174      , 64.617       )     No           3          1    2    3 
"1299"        0.400          ( 111.273999   , 63.88        )     No           3          1    2    3 
"1300"        0.400          ( 108.267001   , 65.113       )     No           3          1    2    3 
"1301"        0.400          ( 108.231      , 64.36        )     No           3          1    2    3 
"1302"        0.400          ( 89.518       , 112.137      )     No           3          1    2    3 
"1303"        0.400          ( 135.917      , 129.113      )     No           3          1    2    3 
"1304"        0.400          ( 153.792001   , 125.963      )     No           3          1    2    3 
"1305"        0.400          ( 150.327      , 61.516001    )     No           3          1    2    3 
"1306"        0.400          ( 141.892      , 62.836       )     No           3          1    2    3 
"1307"        0.400          ( 137.999999   , 62.261       )     No           3          1    2    3 
"1308"        0.400          ( 144.682      , 72.805       )     No           3          1    2    3 
"1309"        0.400          ( 139          , 73.261       )     No           3          1    2    3 
"1310"        0.400          ( 156.775001   , 70.036       )     No           3          1    2    3 
"1311"        0.400          ( 150.624999   , 71.905       )     No           3          1    2    3 
"1312"        0.400          ( 147.182001   , 93.443       )     No           3          1    2    3 
"1313"        0.400          ( 146.700001   , 97.19        )     No           3          1    2    3 
"1314"        0.400          ( 209.008      , 96.856       )     No           3          1    2    3 
"1315"        0.400          ( 195.291001   , 122.261      )     No           3          1    2    3 
"1316"        0.400          ( 195.291001   , 122.261      )     No           3          1    2    3 
"1317"        0.400          ( 74.413999    , 68.688       )     No           3          1    2    3 
"1318"        0.400          ( 75.021       , 69.226       )     No           3          1    2    3 
"1319"        0.400          ( 76.566001    , 71.148       )     No           3          1    2    3 
"1320"        0.400          ( 74.827       , 72.291       )     No           3          1    2    3 
"1321"        0.400          ( 73.993999    , 72.586       )     No           3          1    2    3 
"1322"        0.400          ( 77.738999    , 71.834       )     No           3          1    2    3 
"1323"        0.400          ( 77.211       , 72.255       )     No           3          1    2    3 
"1324"        0.400          ( 76.855999    , 72.948       )     No           3          1    2    3 
"1325"        0.400          ( 77.09        , 73.041       )     No           3          1    2    3 
"1326"        0.400          ( 111.089001   , 64.56        )     No           3          1    2    3 
"1327"        0.400          ( 111.146      , 63.752       )     No           3          1    2    3 
"1328"        0.400          ( 108.406      , 65.1         )     No           3          1    2    3 
"1329"        0.400          ( 106.000001   , 56.261       )     No           3          1    2    3 
"1330"        0.400          ( 84.000001    , 114.261      )     No           3          1    2    3 
"1331"        0.400          ( 135.888      , 129.485      )     No           3          1    2    3 
"1332"        0.400          ( 153.19       , 126.060001   )     No           3          1    2    3 
"1333"        0.400          ( 151.972      , 58.122       )     No           3          1    2    3 
